symbol,marcap,3month_performance,avgvol_10,avgvol_30,avgvol_60,avgvol_90
ABTDABBOTT LABORATORIES,110,195.45B,−4.87%,10.125M,6.286M,5.798M,5.664M
WFCDWELLS FARGO & COMPANY,47.11,194.733B,21.83%,23.104M,25.123M,28.84M,30.646M
AVGODBROADCOM INC.,463.78,189.362B,10.10%,1.709M,1.782M,2.183M,2.156M
ACNDACCENTURE PLC,282.19,187.689B,13.15%,2.189M,1.8M,2.008M,2.02M
"UPSDUNITED PARCEL SERVICE, INC.",212.92,185.354B,32.36%,2.692M,3.896M,3.572M,3.537M
"MRKDMERCK & COMPANY, INC.",72.8,184.334B,2.94%,13.759M,12.64M,12.866M,12.717M
NVODNOVO NORDISK A/S DR,81.2,182.667B,17.97%,921.137K,967.301K,880.348K,981.28K
"TMUSDT-MOBILE US, INC.",143.51,178.937B,12.95%,4.722M,4.81M,4.383M,4.765M
BHPDBHP GROUP LIMITED DR,74.83,176.02B,−1.27%,1.496M,1.862M,1.96M,2.313M
BBLDBHP GROUP PLCSPONSORED DR,60.93,176.02B,−1.57%,1.674M,1.716M,1.697M,1.795M
TMODTHERMO FISHER SCIENTIFIC INC,444.45,174.681B,1.05%,2.449M,1.836M,1.74M,1.808M
TXNDTEXAS INSTRUMENTS INCORPORATED,188.55,174.13B,16.31%,4.442M,4.727M,4.613M,4.75M
MSDMORGAN STANLEY,93.21,173.425B,14.93%,9.594M,9.024M,10.174M,10.579M
MCDDMCDONALD'S CORPORATION,231.69,172.881B,10.80%,2.666M,2.522M,2.798M,2.962M
DHRDDANAHER CORPORATION,240.24,171.358B,13.12%,3.294M,2.318M,2.474M,2.535M
COSTDCOSTCO WHOLESALE CORPORATION,380.4,168.34B,22.15%,2.388M,2.092M,2.355M,2.654M
MDTDMEDTRONIC PLC.,123.96,166.776B,6.25%,5.575M,4.619M,4.748M,4.788M
SAPDSAP SE DR,140.91,164.713B,14.50%,459.383K,629.574K,810.593K,853.359K
"CDCITIGROUP, INC.",79.31,163.938B,9.82%,16.33M,17.425M,17.673M,18.52M
HONDHONEYWELL INTERNATIONAL INC.,228.19,158.491B,9.87%,2.466M,2.494M,2.691M,2.682M
ULDUNILEVER PLC DR,60.67,158.148B,12.39%,1.264M,1.686M,1.806M,2.17M
PMDPHILIP MORRIS INTERNATIONAL INC,98.56,153.609B,14.13%,3.559M,3.762M,4.473M,4.485M
SHOPDSHOPIFY INC.,1230.55,152.991B,14.74%,1.018M,1.472M,1.286M,1.424M
LINDLINDE PLC,291.58,151.682B,14.94%,1.649M,1.602M,1.657M,1.779M
BUDDANHEUSER-BUSCH INBEV SA SPONSORED DR,78.19,150.774B,27.51%,988.522K,1.058M,1.167M,1.427M
QCOMDQUALCOMM INCORPORATED,133.32,150.385B,8.21%,6.93M,9.345M,9.391M,10.643M
RDS.ADROYAL DUTCH SHELL PLC ROYAL DUTCH SHELL DR,39.68,150.372B,−8.47%,4.964M,5.372M,5.105M,5.255M
RDS.BDROYAL DUTCH SHELL PLC DR,37.47,150.372B,−9.25%,3.241M,3.502M,3.394M,3.303M
AZNDASTRAZENECA PLC DR,56.4,149.86B,17.04%,6.321M,7.4M,8.684M,9.545M
RYDROYAL BANK OF CANADA,104.3,148.562B,15.34%,1.172M,1.195M,1.142M,1.287M
UNPDUNION PACIFIC CORPORATION,222.95,148.106B,5.72%,2.593M,2.493M,2.681M,2.737M
BADBOEING COMPANY (THE),252.66,147.758B,12.78%,11.404M,12.517M,14.875M,15.116M
RIODRIO TINTO PLC DR,88.12,145.6B,5.66%,2.48M,2.797M,2.673M,2.603M
BMYDBRISTOL-MYERS SQUIBB COMPANY,64.77,144.692B,7.15%,8.506M,9.784M,10.716M,11.636M
"NEEDNEXTERA ENERGY, INC.",72.47,142.146B,2.27%,7.865M,7.766M,8.178M,8.472M
SCHWDCHARLES SCHWAB CORPORATION (THE),74.73,140.967B,15.93%,7.066M,6.988M,7.029M,7.657M
AMGNDAMGEN INC.,237.19,136.278B,4.12%,2.862M,2.931M,2.808M,2.765M
"BLKDBLACKROCK, INC.",884.96,134.98B,26.61%,537.716K,517.213K,548.746K,603.929K
RTXDRAYTHEON TECHNOLOGIES CORPORATION,88.97,134.798B,17.67%,5.548M,6.589M,6.645M,6.943M
SEDSEA LIMITED DR,257.32,134.685B,24.88%,2.883M,3.721M,3.835M,4.219M
"LOWDLOWE'S COMPANIES, INC.",190.25,134.486B,16.78%,3.849M,4.267M,4.039M,4.061M
AXPDAMERICAN EXPRESS COMPANY,165.92,133.284B,10.41%,2.886M,2.899M,2.901M,3.168M
TDDTORONTO DOMINION BANK (THE),72.78,132.348B,14.16%,1.588M,1.605M,1.73M,1.801M
IBMDINTERNATIONAL BUSINESS MACHINES CORPORATION,148.02,132.259B,18.60%,3.44M,4.651M,5.116M,5.461M
"GSDGOLDMAN SACHS GROUP, INC. (THE)",388.16,132.058B,16.15%,2.68M,2.659M,2.889M,2.955M
LFCDCHINA LIFE INSURANCE COMPANY LIMITED DR,10.24,131.485B,−4.92%,786.997K,678.998K,617.835K,593.585K
"CATDCATERPILLAR, INC.",239.76,131.337B,8.20%,2.351M,2.848M,2.984M,3.079M
SBUXDSTARBUCKS CORPORATION,111.33,131.18B,6.00%,4.985M,6.025M,6.252M,6.223M
SNYDSANOFI DR,52.23,131.139B,12.11%,1.154M,1.258M,1.243M,1.867M
"HSBCDHSBC HOLDINGS, PLC. DR",31.53,128.514B,0.35%,1.948M,1.953M,1.95M,2.031M
"CHTRDCHARTER COMMUNICATIONS, INC.",680.56,128.399B,11.13%,753.224K,848.535K,973.74K,1.064M
PTRDPETROCHINA COMPANY LIMITED DR,42.95,127.683B,9.12%,176.973K,192.245K,195.524K,196.073K
"AMATDAPPLIED MATERIALS, INC.",138.97,127.527B,31.50%,8.855M,9.956M,10.543M,9.977M
TOTDTOTAL SE DR,48.19,125.751B,−0.78%,1.572M,1.873M,1.988M,2.255M
INTUDINTUIT INC.,457.21,124.937B,23.43%,1.506M,1.229M,1.294M,1.344M
SONYDSONY GROUP CORPORATION DR,100.15,123.283B,−0.10%,677.319K,861.887K,793.085K,923.02K
GEDGENERAL ELECTRIC COMPANY,13.91,122.111B,−1.83%,65.854M,66.391M,63.867M,73.435M
MMMD3M COMPANY,203.73,118.097B,10.86%,1.784M,2.052M,2.231M,2.31M
"JDDJD.COM, INC. DR",74.68,117.626B,−12.51%,10.18M,11.407M,11.453M,11.106M
PDDDPINDUODUO INC. DR,127.93,115.502B,−7.03%,9.893M,6.85M,7.598M,7.402M
VALEDVALE S.A. DR,22.28,114.336B,29.38%,33.794M,33.917M,29.497M,30.016M
TGTDTARGET CORPORATION,230.89,114.227B,30.54%,3.559M,3.542M,3.366M,3.618M
CVSDCVS HEALTH CORPORATION,86.33,113.659B,20.35%,6.518M,7.978M,7.148M,7.178M
HDBDHDFC BANK LIMITED DR,76.92,113.462B,−5.26%,1.018M,1.386M,1.519M,1.537M
DEODDIAGEO PLC DR,193.16,112.458B,19.18%,379.869K,387.282K,391.415K,435.24K
BXDTHE BLACKSTONE GROUP INC.,94.4,110.915B,39.79%,3.059M,3.417M,3.104M,3.053M
DEDDEERE & COMPANY,355.43,110.874B,0.49%,1.775M,1.681M,1.665M,1.748M
"ELDESTEE LAUDER COMPANIES, INC. (THE)",302.96,109.827B,8.17%,1.091M,1.364M,1.286M,1.385M
LMTDLOCKHEED MARTIN CORPORATION,391.51,108.814B,14.66%,1.437M,1.296M,1.5M,1.619M
"ZMDZOOM VIDEO COMMUNICATIONS, INC.",342.66,100.963B,10.20%,3.886M,3.215M,3.296M,4.072M
AMDDADVANCED MICRO DEVICES INC,81.35,98.842B,9.99%,35.155M,46.102M,43.879M,43.226M
"SQDSQUARE, INC.",216.95,98.792B,7.47%,9.13M,10.133M,10.281M,10.899M
"ISRGDINTUITIVE SURGICAL, INC.",831.12,98.415B,21.35%,586.707K,547.814K,553.291K,561.806K
GSKDGLAXOSMITHKLINE PLC DR,38.75,95.857B,10.81%,4.105M,3.875M,4.765M,5.634M
"ANTMDANTHEM, INC.",389.1,95.268B,14.58%,1.035M,969.397K,1.136M,1.226M
"UBERDUBER TECHNOLOGIES, INC.",50.76,95.011B,−4.59%,18.732M,23.818M,19.601M,20.435M
BKNGDBOOKING HOLDINGS INC. COMMON STOCK,2298.52,94.361B,−2.96%,309.077K,324.602K,382.123K,394.083K
"MUDMICRON TECHNOLOGY, INC.",84.04,94.244B,−1.19%,14.594M,16.866M,19.409M,19.072M
SYKDSTRYKER CORPORATION,249.54,94.014B,5.74%,1.224M,1.142M,1.136M,1.201M
SNAPDSNAP INC.,61.37,93.497B,16.03%,13.749M,21.319M,22.164M,23.416M
"MODALTRIA GROUP, INC.",50.49,93.439B,7.65%,6.415M,7.091M,9.744M,9.501M
LRCXDLAM RESEARCH CORPORATION,649.58,92.643B,29.24%,1.249M,1.408M,1.544M,1.617M
"ABNBDAIRBNB, INC.",148.97,91.992B,−17.61%,12.061M,10.259M,6.994M,6.748M
SPGIDS&P GLOBAL INC.,381.23,91.838B,11.24%,1.202M,1.341M,1.307M,1.495M
GMDGENERAL MOTORS COMPANY,63.23,91.726B,15.01%,18.325M,16.323M,17.894M,19.613M
BPDBP P.L.C. DR,27.26,90.913B,2.71%,14.167M,13.772M,14.072M,15.729M
"NOWDSERVICENOW, INC.",459.46,90.719B,−0.99%,1.395M,1.897M,1.611M,1.619M
USBDU.S. BANCORP,60.54,90.185B,12.01%,5.882M,6.052M,7.096M,7.114M
"MDLZDMONDELEZ INTERNATIONAL, INC.",63.67,89.438B,15.45%,6.262M,7.142M,7.484M,7.89M
"FISDFIDELITY NATIONAL INFORMATION SERVICES, INC.",143.53,89.007B,−0.69%,2.883M,2.693M,2.674M,3.27M
"BTIDBRITISH AMERICAN TOBACCO INDUSTRIES, P.L.C. DR",39.93,88.587B,9.13%,2.614M,2.957M,3.164M,2.983M
"MRNADMODERNA, INC.",219.57,88.163B,77.83%,9.411M,9.848M,9.48M,10.128M
CIDCIGNA CORPORATION,247.6,84.963B,4.98%,1.563M,1.418M,1.541M,1.682M
"GILDDGILEAD SCIENCES, INC.",67.42,84.557B,4.12%,7.039M,7.44M,7.298M,7.646M
"ADPDAUTOMATIC DATA PROCESSING, INC.",196.72,83.708B,9.03%,1.764M,1.787M,1.873M,1.893M
ZTSDZOETIS INC.,175.1,83.132B,20.63%,1.698M,1.712M,1.819M,1.98M
"PNCDPNC FINANCIAL SERVICES GROUP, INC. (THE)",193.11,82.044B,7.99%,1.394M,1.614M,1.796M,1.812M
BNSDBANK NOVA SCOTIA HALIFAX PFD 3,67.17,81.535B,8.79%,1.298M,1.383M,1.387M,1.398M
SNPDCHINA PETROLEUM & CHEMICAL CORPORATION DR,55.08,81.022B,−4.06%,120.142K,115.274K,127.258K,134.327K
INFYDINFOSYS LIMITED DR,19.4,80.85B,7.90%,5.893M,5.644M,6.96M,7.444M
TTFCDTRUIST FINANCIAL CORPORATION,60.06,80.771B,0.59%,6.516M,5.616M,5.784M,5.868M
COPDCONOCOPHILLIPS,59.81,80.709B,1.75%,7.065M,8.468M,8.952M,9.525M
FDXDFEDEX CORPORATION,303.34,80.489B,20.69%,1.757M,1.966M,2.159M,2.146M
ENBDENBRIDGE INC,39.52,80.051B,10.24%,4.576M,4.747M,4.108M,4.65M
BAMDBROOKFIELD ASSET MANAGEMENT INC.,50.13,79.088B,19.81%,2.224M,2.252M,2.254M,2.469M
"NTESDNETEASE, INC. DR",113.89,78.885B,11.57%,2.162M,1.89M,1.875M,2.153M
CNIDCANADIAN NATIONAL RAILWAY COMPANY,110.96,78.815B,−2.11%,3.443M,2.568M,1.879M,1.591M
"TJXDTJX COMPANIES, INC. (THE)",65.32,78.776B,0.21%,7.229M,6.699M,6.143M,6.732M
DELLDDELL TECHNOLOGIES INC.,102.84,78.537B,20.83%,2.482M,1.998M,2.517M,2.558M
DUKDDUKE ENERGY CORPORATION (HOLDING COMPANY),101.86,78.353B,12.90%,2.909M,3.477M,3.659M,3.466M
CMEDCME GROUP INC.,218.1,78.319B,1.90%,959.028K,1.269M,1.329M,1.559M
CBDCHUBB LIMITED,169.45,76.2B,−2.18%,2.55M,2.386M,2.268M,2.148M
WBKDWESTPAC BANKING CORPORATION DR,20.7,76.148B,8.32%,89.103K,106.205K,101.217K,110.017K
"ATVIDACTIVISION BLIZZARD, INC",97.12,75.464B,8.87%,3.743M,5.797M,5.726M,5.768M
SHWDSHERWIN-WILLIAMS COMPANY (THE),280.81,75.152B,22.43%,1.225M,1.25M,1.293M,1.45M
"MUFGDMITSUBISHI UFJ FINANCIAL GROUP, INC. DR",5.82,74.641B,6.59%,2.652M,2.001M,1.87M,1.743M
EQNRDEQUINOR ASA DR,23.18,74.606B,16.60%,2.175M,2.151M,2.322M,2.839M
CSXDCSX CORPORATION,98.07,74.278B,5.99%,3.068M,3.539M,3.634M,3.648M
SSNOWDSNOWFLAKE INC.,250.57,74.201B,17.09%,5.657M,4.7M,4.162M,4.291M
PBR.ADPETROLEO BRASILEIRO S.A.- PETROBRAS DR,11.2,74.022B,55.34%,12.777M,12.635M,10.669M,10.832M
PBRDPETROLEO BRASILEIRO SA PETROBR DR,11.43,74.022B,58.53%,50.29M,37.387M,33.369M,40M
COFDCAPITAL ONE FINANCIAL CORPORATION,163.55,73.841B,27.09%,3.067M,3.173M,2.892M,3.084M
ITWDILLINOIS TOOL WORKS INC.,233.49,73.755B,9.41%,824.224K,942.949K,1.085M,1.084M
"FISVDFISERV, INC.",109.66,73.118B,−9.74%,4.425M,5.21M,4.365M,4.532M
"SANDBANCO SANTANDER, S.A. SPONSORED DR",4.24,72.491B,16.48%,3.758M,5.044M,4.838M,5.77M
"HCADHCA HEALTHCARE, INC.",211.87,71.387B,11.98%,1.366M,1.397M,1.448M,1.546M
CLDCOLGATE-PALMOLIVE COMPANY,83.9,70.977B,9.74%,3.81M,3.953M,4.331M,4.524M
ABBDABB LTD DR,35.17,70.919B,17.23%,1.291M,1.364M,1.45M,1.638M
"MMCDMARSH & MCLENNAN COMPANIES, INC.",137.97,70.162B,17.57%,1.561M,1.705M,1.657M,1.726M
"BDXDBECTON, DICKINSON AND COMPANY",239.56,69.668B,−2.66%,1.623M,1.507M,1.359M,1.392M
BMODBANK OF MONTREAL,106.41,68.842B,23.83%,903.213K,918.975K,871.836K,861.644K
NSCDNORFOLK SOUTHERN CORPORATION,274.82,68.771B,6.02%,1.077M,1.107M,1.107M,1.141M
SODSOUTHERN COMPANY (THE),64.67,67.993B,8.49%,3.726M,3.997M,3.945M,3.929M
"VMWDVMWARE, INC.",161.15,67.61B,12.20%,1.164M,1.033M,1.108M,1.164M
"BIDUDBAIDU, INC. DR",188.92,67.607B,−18.81%,4.464M,6.11M,10.966M,11.039M
"CCPNGDCOUPANG, INC.",38.58,66.842B,—,3.564M,4.692M,6.149M,—
"APDDAIR PRODUCTS AND CHEMICALS, INC.",301.81,66.795B,13.09%,812.951K,850.345K,895.268K,1.049M
SSTLADSTELLANTIS N.V.,21.22,66.446B,24.02%,3.629M,3.036M,3.023M,2.988M
"MELIDMERCADOLIBRE, INC.",1325.19,66.064B,−3.24%,374.29K,470.178K,452.865K,515.219K
NIODNIO INC. DR,43.68,65.808B,24.06%,63.566M,71.088M,79.594M,86.599M
FDFORD MTR CO DEL,15.88,63.387B,25.53%,147.213M,100.163M,81.403M,79.472M
"ILMNDILLUMINA, INC.",430.34,62.83B,12.18%,887.86K,843.569K,1.001M,1.042M
MCODMOODY'S CORPORATION,335.07,62.725B,15.75%,562.824K,698.56K,733.57K,753.62K
ICEDINTERCONTINENTAL EXCHANGE INC.,110.4,62.129B,−2.94%,2.69M,2.531M,2.281M,2.405M
"DDDOMINION ENERGY, INC.",76.41,61.627B,6.13%,4.041M,3.604M,3.533M,3.817M
"ADSKDAUTODESK, INC.",278.89,61.36B,10.19%,1.373M,1.065M,1.125M,1.238M
IBNDICICI BANK LIMITED DR,17.92,60.949B,6.79%,4.518M,6.804M,6.84M,7.81M
ECLDECOLAB INC.,212.96,60.893B,0.65%,1.367M,1.16M,1.065M,1.039M
"ADIDANALOG DEVICES, INC.",164.48,60.665B,14.17%,2.905M,3.849M,3.282M,3.277M
"FCXDFREEPORT-MCMORAN, INC.",41.26,60.468B,19.84%,18.283M,24.483M,23.496M,23.993M
ABEVDAMBEV S.A. DR,3.9,60.216B,52.34%,29.299M,24.583M,21.034M,23.167M
EWDEDWARDS LIFESCIENCES CORPORATION,96.34,59.888B,19.95%,2.368M,2.33M,2.641M,2.669M
BSXDBOSTON SCIENTIFIC CORPORATION,42.14,59.877B,6.63%,7.591M,7.782M,7.451M,8.593M
NOCDNORTHROP GRUMMAN CORPORATION,371.84,59.852B,21.67%,800.51K,879.375K,937.007K,1.027M
"WMDWASTE MANAGEMENT, INC.",139.57,58.916B,14.66%,1.218M,1.4M,1.624M,1.836M
EMRDEMERSON ELECTRIC COMPANY,97.87,58.693B,6.23%,2.251M,2.536M,2.786M,2.809M
ITUBDITAU UNIBANCO BANCO HOLDING SA DR,6.5,58.56B,41.30%,35.083M,35.497M,35.394M,40.36M
"ETNDEATON CORPORATION, PLC",146.85,58.52B,5.31%,1.64M,1.808M,2.069M,2.189M
UBSDUBS GROUP AG REGISTERED,16.47,58.494B,5.04%,2.132M,2.541M,2.707M,2.829M
"METDMETLIFE, INC.",66.21,57.961B,9.67%,4.439M,4.307M,4.585M,5.172M
TEAMDATLASSIAN CORPORATION PLC,228.13,57.562B,2.11%,1.209M,1.532M,1.467M,1.485M
NEMDNEWMONT CORPORATION,71.51,57.291B,26.81%,6.236M,6.928M,7.049M,7.139M
"HMCDHONDA MOTOR COMPANY, LTD. DR",32.86,57.184B,11.47%,986.197K,1.102M,947.321K,964.825K
GPNDGLOBAL PAYMENTS INC.,191.2,56.445B,−5.97%,1.667M,1.474M,1.369M,1.567M
PGRDPROGRESSIVE CORPORATION (THE),96.39,56.403B,5.90%,2.945M,2.632M,2.637M,2.907M
BBNTXDBIONTECH SE DR,238.15,56.344B,163.76%,2.142M,3.558M,2.861M,2.482M
AONDAON PLC,247.52,55.852B,7.62%,1.451M,1.689M,1.674M,1.687M
"WDAYDWORKDAY, INC.",225.65,55.736B,−2.35%,2.149M,1.745M,1.534M,1.796M
NXPIDNXP SEMICONDUCTORS N.V.,201.15,55.467B,17.63%,2.572M,2.803M,4.031M,3.743M
BBEKEDKE HOLDINGS INC DR,44.58,55.317B,−5.31%,11.618M,7.341M,5.706M,5.672M
"REGNDREGENERON PHARMACEUTICALS, INC.",514.99,54.869B,11.18%,692.753K,750.297K,823.761K,918.392K
RACEDFERRARI N.V.,219.37,54.425B,16.36%,255.246K,280.285K,327.301K,354.471K
PUKDPRUDENTIAL PUBLIC LIMITED COMPANY DR,41.93,54.386B,0.70%,204.053K,207.639K,187.488K,303.369K
TWLODTWILIO INC.,314.52,54.316B,−1.89%,1.886M,2.348M,2.117M,2.29M
GDDGENERAL DYNAMICS CORPORATION,191.77,54.194B,11.05%,909.069K,1.099M,1.105M,1.203M
VRTXDVERTEX PHARMACEUTICALS INCORPORATED,209.16,54.144B,−2.07%,1.729M,1.501M,1.588M,1.865M
EPDDENTERPRISE PRODUCTS PARTNERS L.P.,24.7,53.974B,7.07%,4.795M,6.209M,5.901M,6.533M
"INGDING GROUP, N.V. DR",13.79,53.851B,10.67%,4.761M,5.227M,5.977M,5.75M
CMDCANADIAN IMPERIAL BANK OF COMMERCE,120.17,53.818B,23.66%,595.187K,500.912K,574.494K,563.68K
KHCDTHE KRAFT HEINZ COMPANY,43.88,53.672B,13.47%,3.97M,4.836M,5.773M,6.645M
HUMDHUMANA INC.,416,53.67B,3.72%,901.182K,809.611K,853.355K,963.634K
CPDCANADIAN PACIFIC RAILWAY LIMITED,80.23,53.482B,10.49%,2.481M,3.061M,4.105M,3.237M
RRBLXDROBLOX CORPORATION,93.44,53.245B,—,15.94M,12.268M,10.265M,—
SCCODSOUTHERN COPPER CORPORATION,68.24,52.755B,−5.91%,1.618M,1.56M,1.375M,1.333M
TAKDTAKEDA PHARMACEUTICAL COMPANY LIMITED DR,16.85,52.468B,−6.91%,2.215M,2.204M,2.459M,2.919M
KDPDKEURIG DR PEPPER INC.,36.84,52.217B,13.46%,4.217M,3.829M,5.004M,4.954M
TRPDTC ENERGY CORPORATION,53,51.887B,16.10%,1.427M,1.45M,1.844M,2.23M
DDOWDDOW INC.,69.24,51.722B,9.14%,4.308M,4.655M,4.504M,4.493M
"AMOVDAMERICA MOVIL, S.A.B. DE C.V. DR",15.97,50.962B,23.64%,4.96K,3.796K,4.113K,5.15K
"AMXDAMERICA MOVIL, S.A.B. DE C.V. AMERICAN DEPOSITORY RECEIPT SERIES L DR",16.04,50.962B,24.44%,1.882M,2.19M,2.081M,2.655M
SMFGDSUMITOMO MITSUI FINANCIAL GROUP INC UNSPONSORED DR,7.33,50.931B,0.69%,1.017M,1.253M,1.334M,1.307M
PHGDKONINKLIJKE PHILIPS N.V. NY REGISTRY SHARES DR,56.24,50.848B,4.87%,499.589K,686.949K,609.521K,564.516K
"EOGDEOG RESOURCES, INC.",87.03,50.791B,16.68%,3.822M,4.055M,4.008M,4.348M
VODDVODAFONE GROUP PLC DR,18.66,50.658B,6.69%,4.024M,4.012M,3.582M,3.666M
RELXDRELX PLC PLC DR,26.2,50.444B,11.63%,405.246K,494.386K,565.992K,603.373K
SLBDSCHLUMBERGER N.V.,35.83,50.102B,20.60%,14.034M,14.504M,13.344M,13.879M
BBDDBANCO BRADESCO SA DR,5.6,49.854B,49.15%,22.221M,23.814M,25.701M,29.06M
BBDODBANCO BRADESCO SA DR,4.85,49.854B,40.03%,28.904K,36.037K,30.04K,36.171K
MNSTDMONSTER BEVERAGE CORPORATION,94.3,49.843B,10.76%,1.963M,2.074M,2.013M,2.012M
LYGDLLOYDS BANKING GROUP PLC DR,2.8,49.194B,22.81%,5.534M,5.894M,5.606M,5.899M
"CCRWDDCROWDSTRIKE HOLDINGS, INC.",215.41,49.064B,19.84%,3.787M,3.456M,3.924M,3.858M
KLACDKLA CORPORATION,318.55,48.828B,16.24%,1.077M,1.189M,1.337M,1.339M
"COINDCOINBASE GLOBAL, INC.",231.45,48.672B,—,5.565M,6.716M,—,—
DGDDOLLAR GENERAL CORPORATION,206,48.658B,13.20%,2.398M,1.905M,2.342M,2.495M
CVNADCARVANA CO.,279.85,48.241B,16.03%,1.29M,1.806M,1.488M,1.502M
TRIDTHOMSON REUTERS CORP,97.17,48.163B,13.41%,503.542K,549.436K,468.271K,510.329K
"IDXXDIDEXX LABORATORIES, INC.",560.35,47.787B,16.11%,378.503K,355.267K,383.702K,434.001K
TWTRDTWITTER INC,59.63,47.592B,−6.06%,14.037M,21.113M,18.336M,20.684M
JCIDJOHNSON CONTROLS INTERNATIONAL PLC,66.2,47.447B,9.93%,3.965M,4.762M,4.4M,4.47M
"WBADWALGREENS BOOTS ALLIANCE, INC.",54.56,47.161B,12.54%,5.478M,4.907M,5.392M,5.417M
