,3month_performance,avgvol_10
"HSBCDHSBC HOLDINGS, PLC. DR",0.35%,1.948
"CHTRDCHARTER COMMUNICATIONS, INC.",11.13%,753.224
PTRDPETROCHINA COMPANY LIMITED DR,9.12%,176.973
"AMATDAPPLIED MATERIALS, INC.",31.50%,8.855
TOTDTOTAL SE DR,−0.78%,1.572
INTUDINTUIT INC.,23.43%,1.506
SONYDSONY GROUP CORPORATION DR,−0.10%,677.319
GEDGENERAL ELECTRIC COMPANY,−1.83%,65.854
MMMD3M COMPANY,10.86%,1.784
"JDDJD.COM, INC. DR",−12.51%,10.18
PDDDPINDUODUO INC. DR,−7.03%,9.893
VALEDVALE S.A. DR,29.38%,33.794
TGTDTARGET CORPORATION,30.54%,3.559
CVSDCVS HEALTH CORPORATION,20.35%,6.518
HDBDHDFC BANK LIMITED DR,−5.26%,1.018
DEODDIAGEO PLC DR,19.18%,379.869
BXDTHE BLACKSTONE GROUP INC.,39.79%,3.059
DEDDEERE & COMPANY,0.49%,1.775
"ELDESTEE LAUDER COMPANIES, INC. (THE)",8.17%,1.091
LMTDLOCKHEED MARTIN CORPORATION,14.66%,1.437
"ZMDZOOM VIDEO COMMUNICATIONS, INC.",10.20%,3.886
AMDDADVANCED MICRO DEVICES INC,9.99%,35.155
"SQDSQUARE, INC.",7.47%,9.13
"ISRGDINTUITIVE SURGICAL, INC.",21.35%,586.707
GSKDGLAXOSMITHKLINE PLC DR,10.81%,4.105
"ANTMDANTHEM, INC.",14.58%,1.035
"UBERDUBER TECHNOLOGIES, INC.",−4.59%,18.732
BKNGDBOOKING HOLDINGS INC. COMMON STOCK,−2.96%,309.077
"MUDMICRON TECHNOLOGY, INC.",−1.19%,14.594
SYKDSTRYKER CORPORATION,5.74%,1.224
SNAPDSNAP INC.,16.03%,13.749
"MODALTRIA GROUP, INC.",7.65%,6.415
LRCXDLAM RESEARCH CORPORATION,29.24%,1.249
"ABNBDAIRBNB, INC.",−17.61%,12.061
SPGIDS&P GLOBAL INC.,11.24%,1.202
GMDGENERAL MOTORS COMPANY,15.01%,18.325
BPDBP P.L.C. DR,2.71%,14.167
"NOWDSERVICENOW, INC.",−0.99%,1.395
USBDU.S. BANCORP,12.01%,5.882
"MDLZDMONDELEZ INTERNATIONAL, INC.",15.45%,6.262
"FISDFIDELITY NATIONAL INFORMATION SERVICES, INC.",−0.69%,2.883
"BTIDBRITISH AMERICAN TOBACCO INDUSTRIES, P.L.C. DR",9.13%,2.614
"MRNADMODERNA, INC.",77.83%,9.411
CIDCIGNA CORPORATION,4.98%,1.563
"GILDDGILEAD SCIENCES, INC.",4.12%,7.039
"ADPDAUTOMATIC DATA PROCESSING, INC.",9.03%,1.764
ZTSDZOETIS INC.,20.63%,1.698
"PNCDPNC FINANCIAL SERVICES GROUP, INC. (THE)",7.99%,1.394
BNSDBANK NOVA SCOTIA HALIFAX PFD 3,8.79%,1.298
SNPDCHINA PETROLEUM & CHEMICAL CORPORATION DR,−4.06%,120.142
INFYDINFOSYS LIMITED DR,7.90%,5.893
TTFCDTRUIST FINANCIAL CORPORATION,0.59%,6.516
COPDCONOCOPHILLIPS,1.75%,7.065
FDXDFEDEX CORPORATION,20.69%,1.757
ENBDENBRIDGE INC,10.24%,4.576
BAMDBROOKFIELD ASSET MANAGEMENT INC.,19.81%,2.224
"NTESDNETEASE, INC. DR",11.57%,2.162
CNIDCANADIAN NATIONAL RAILWAY COMPANY,−2.11%,3.443
"TJXDTJX COMPANIES, INC. (THE)",0.21%,7.229
DELLDDELL TECHNOLOGIES INC.,20.83%,2.482
DUKDDUKE ENERGY CORPORATION (HOLDING COMPANY),12.90%,2.909
CMEDCME GROUP INC.,1.90%,959.028
CBDCHUBB LIMITED,−2.18%,2.55
WBKDWESTPAC BANKING CORPORATION DR,8.32%,89.103
"ATVIDACTIVISION BLIZZARD, INC",8.87%,3.743
SHWDSHERWIN-WILLIAMS COMPANY (THE),22.43%,1.225
"MUFGDMITSUBISHI UFJ FINANCIAL GROUP, INC. DR",6.59%,2.652
EQNRDEQUINOR ASA DR,16.60%,2.175
CSXDCSX CORPORATION,5.99%,3.068
SSNOWDSNOWFLAKE INC.,17.09%,5.657
PBR.ADPETROLEO BRASILEIRO S.A.- PETROBRAS DR,55.34%,12.777
PBRDPETROLEO BRASILEIRO SA PETROBR DR,58.53%,50.29
COFDCAPITAL ONE FINANCIAL CORPORATION,27.09%,3.067
ITWDILLINOIS TOOL WORKS INC.,9.41%,824.224
"FISVDFISERV, INC.",−9.74%,4.425
"SANDBANCO SANTANDER, S.A. SPONSORED DR",16.48%,3.758
"HCADHCA HEALTHCARE, INC.",11.98%,1.366
CLDCOLGATE-PALMOLIVE COMPANY,9.74%,3.81
ABBDABB LTD DR,17.23%,1.291
"MMCDMARSH & MCLENNAN COMPANIES, INC.",17.57%,1.561
"BDXDBECTON, DICKINSON AND COMPANY",−2.66%,1.623
BMODBANK OF MONTREAL,23.83%,903.213
NSCDNORFOLK SOUTHERN CORPORATION,6.02%,1.077
SODSOUTHERN COMPANY (THE),8.49%,3.726
"VMWDVMWARE, INC.",12.20%,1.164
"BIDUDBAIDU, INC. DR",−18.81%,4.464
"CCPNGDCOUPANG, INC.",—,3.564
"APDDAIR PRODUCTS AND CHEMICALS, INC.",13.09%,812.951
SSTLADSTELLANTIS N.V.,24.02%,3.629
"MELIDMERCADOLIBRE, INC.",−3.24%,374.29
NIODNIO INC. DR,24.06%,63.566
FDFORD MTR CO DEL,25.53%,147.213
"ILMNDILLUMINA, INC.",12.18%,887.86
MCODMOODY'S CORPORATION,15.75%,562.824
ICEDINTERCONTINENTAL EXCHANGE INC.,−2.94%,2.69
"DDDOMINION ENERGY, INC.",6.13%,4.041
"ADSKDAUTODESK, INC.",10.19%,1.373
IBNDICICI BANK LIMITED DR,6.79%,4.518
ECLDECOLAB INC.,0.65%,1.367
"ADIDANALOG DEVICES, INC.",14.17%,2.905
"FCXDFREEPORT-MCMORAN, INC.",19.84%,18.283
ABEVDAMBEV S.A. DR,52.34%,29.299
EWDEDWARDS LIFESCIENCES CORPORATION,19.95%,2.368
BSXDBOSTON SCIENTIFIC CORPORATION,6.63%,7.591
NOCDNORTHROP GRUMMAN CORPORATION,21.67%,800.51
"WMDWASTE MANAGEMENT, INC.",14.66%,1.218
EMRDEMERSON ELECTRIC COMPANY,6.23%,2.251
ITUBDITAU UNIBANCO BANCO HOLDING SA DR,41.30%,35.083
"ETNDEATON CORPORATION, PLC",5.31%,1.64
UBSDUBS GROUP AG REGISTERED,5.04%,2.132
"METDMETLIFE, INC.",9.67%,4.439
TEAMDATLASSIAN CORPORATION PLC,2.11%,1.209
NEMDNEWMONT CORPORATION,26.81%,6.236
"HMCDHONDA MOTOR COMPANY, LTD. DR",11.47%,986.197
GPNDGLOBAL PAYMENTS INC.,−5.97%,1.667
PGRDPROGRESSIVE CORPORATION (THE),5.90%,2.945
BBNTXDBIONTECH SE DR,163.76%,2.142
AONDAON PLC,7.62%,1.451
"WDAYDWORKDAY, INC.",−2.35%,2.149
NXPIDNXP SEMICONDUCTORS N.V.,17.63%,2.572
BBEKEDKE HOLDINGS INC DR,−5.31%,11.618
"REGNDREGENERON PHARMACEUTICALS, INC.",11.18%,692.753
RACEDFERRARI N.V.,16.36%,255.246
PUKDPRUDENTIAL PUBLIC LIMITED COMPANY DR,0.70%,204.053
TWLODTWILIO INC.,−1.89%,1.886
GDDGENERAL DYNAMICS CORPORATION,11.05%,909.069
VRTXDVERTEX PHARMACEUTICALS INCORPORATED,−2.07%,1.729
EPDDENTERPRISE PRODUCTS PARTNERS L.P.,7.07%,4.795
"INGDING GROUP, N.V. DR",10.67%,4.761
CMDCANADIAN IMPERIAL BANK OF COMMERCE,23.66%,595.187
KHCDTHE KRAFT HEINZ COMPANY,13.47%,3.97
HUMDHUMANA INC.,3.72%,901.182
CPDCANADIAN PACIFIC RAILWAY LIMITED,10.49%,2.481
RRBLXDROBLOX CORPORATION,—,15.94
SCCODSOUTHERN COPPER CORPORATION,−5.91%,1.618
TAKDTAKEDA PHARMACEUTICAL COMPANY LIMITED DR,−6.91%,2.215
KDPDKEURIG DR PEPPER INC.,13.46%,4.217
TRPDTC ENERGY CORPORATION,16.10%,1.427
DDOWDDOW INC.,9.14%,4.308
"AMOVDAMERICA MOVIL, S.A.B. DE C.V. DR",23.64%,4.96
"AMXDAMERICA MOVIL, S.A.B. DE C.V. AMERICAN DEPOSITORY RECEIPT SERIES L DR",24.44%,1.882
SMFGDSUMITOMO MITSUI FINANCIAL GROUP INC UNSPONSORED DR,0.69%,1.017
PHGDKONINKLIJKE PHILIPS N.V. NY REGISTRY SHARES DR,4.87%,499.589
"EOGDEOG RESOURCES, INC.",16.68%,3.822
VODDVODAFONE GROUP PLC DR,6.69%,4.024
RELXDRELX PLC PLC DR,11.63%,405.246
SLBDSCHLUMBERGER N.V.,20.60%,14.034
BBDDBANCO BRADESCO SA DR,49.15%,22.221
BBDODBANCO BRADESCO SA DR,40.03%,28.904
MNSTDMONSTER BEVERAGE CORPORATION,10.76%,1.963
LYGDLLOYDS BANKING GROUP PLC DR,22.81%,5.534
"CCRWDDCROWDSTRIKE HOLDINGS, INC.",19.84%,3.787
KLACDKLA CORPORATION,16.24%,1.077
"COINDCOINBASE GLOBAL, INC.",—,5.565
DGDDOLLAR GENERAL CORPORATION,13.20%,2.398
CVNADCARVANA CO.,16.03%,1.29
TRIDTHOMSON REUTERS CORP,13.41%,503.542
"IDXXDIDEXX LABORATORIES, INC.",16.11%,378.503
TWTRDTWITTER INC,−6.06%,14.037
JCIDJOHNSON CONTROLS INTERNATIONAL PLC,9.93%,3.965
"WBADWALGREENS BOOTS ALLIANCE, INC.",12.54%,5.478
"ROPDROPER TECHNOLOGIES, INC.",15.93%,331.536
"DOCUDDOCUSIGN, INC.",24.96%,4.526
"DDASHDDOORDASH, INC.",6.81%,3.842
MARDMARRIOTT INTERNATIONAL,−5.29%,1.791
"STZDCONSTELLATION BRANDS, INC.",8.36%,865.72
"NGGDNATIONAL GRID TRANSCO, PLC NATIONAL GRID PLC (NEW) DR",12.98%,385.587
"BCEDBCE, INC.",11.41%,1.042
"ALGNDALIGN TECHNOLOGY, INC.",16.97%,519.824
PLTRDPALANTIR TECHNOLOGIES INC.,8.61%,60.697
TELDTE CONNECTIVITY LTD. NEW SWITZERLAND REGISTERED SHARES,9.33%,1.479
"AIGDAMERICAN INTERNATIONAL GROUP, INC. NEW",12.34%,3.686
SPOTDSPOTIFY TECHNOLOGY S.A.,−6.07%,1.099
BKDTHE BANK OF NEW YORK MELLON CORPORATION,13.57%,3.321
"DDDDUPONT DE NEMOURS, INC.",12.99%,2.69
"ROKUDROKU, INC.",4.24%,2.534
EDENI S.P.A. DR,4.91%,266.259
INFODIHS MARKIT LTD.,13.64%,1.907
EXCDEXELON CORPORATION,12.71%,5.347
"LHXDL3HARRIS TECHNOLOGIES, INC.",14.40%,1.091
"IQVDIQVIA HOLDINGS, INC.",24.17%,1.179
EBAYDEBAY INC.,22.36%,8.763
VEEVDVEEVA SYSTEMS INC.,20.85%,943.634
CNQDCANADIAN NATURAL RESOURCES LIMITED,23.18%,2.098
"TROWDT. ROWE PRICE GROUP, INC.",12.65%,974.568
BCSDBARCLAYS PLC DR,10.15%,4.764
KMBDKIMBERLY-CLARK CORPORATION,−1.55%,3.184
ERICDERICSSON DR,8.53%,5.465
TTTDTRANE TECHNOLOGIES PLC,11.20%,984.13
LULUDLULULEMON ATHLETICA INC.,14.77%,1.384
LVSDLAS VEGAS SANDS CORP.,−10.65%,5.36
BIIBDBIOGEN INC.,46.61%,3.104
"AEPDAMERICAN ELECTRIC POWER COMPANY, INC.",6.44%,2.371
"PPGDPPG INDUSTRIES, INC.",23.19%,1.124
"PRUDPRUDENTIAL FINANCIAL, INC.",16.56%,1.899
APTVDAPTIV PLC,8.75%,1.416
"ROSTDROSS STORES, INC.",−0.96%,2.428
"KMIDKINDER MORGAN, INC.",15.72%,15.57
BBVADBANCO BILBAO VIZCAYA ARGENTARIA S.A. DR,12.39%,1.906
MCHPDMICROCHIP TECHNOLOGY INCORPORATED,12.30%,1.458
"ADAGILENT TECHNOLOGIES, INC.",18.58%,1.731
EADELECTRONIC ARTS INC.,14.55%,1.756
"PINSDPINTEREST, INC.",4.70%,7.981
PXDDPIONEER NATURAL RESOURCES COMPANY,5.32%,2.315
GOLDDBARRICK GOLD CORPORATION,20.05%,15.763
CNCDCENTENE CORPORATION,15.49%,3.87
MPCDMARATHON PETROLEUM CORPORATION,10.81%,8.265
SREDSEMPRA ENERGY,10.73%,2.211
CRHDCRH PLC DR,13.01%,381.149
BAXDBAXTER INTERNATIONAL INC.,3.81%,2.857
SYYDSYSCO CORPORATION,−2.29%,2.438
APHDAMPHENOL CORPORATION,11.17%,1.919
BILIDBILIBILI INC. DR,6.13%,4.481
PSXDPHILLIPS 66,4.45%,2.744
WITDWIPRO LIMITED DR,31.46%,1.48
MFCDMANULIFE FINANCIAL CORPORATION,−2.98%,2.529
ALLDALLSTATE CORPORATION (THE),18.72%,2.103
CCARRDCARRIER GLOBAL CORPORATION,24.28%,5.82
"TRVDTHE TRAVELERS COMPANIES, INC.",1.29%,1.118
PHDPARKER-HANNIFIN CORPORATION,2.87%,640.631
"MFGDMIZUHO FINANCIAL GROUP, INC. SPONOSRED DR",6.08%,423.202
"MRVLDMARVELL TECHNOLOGY, INC.",20.49%,6.92
"RRKTDROCKET COMPANIES, INC.",−19.47%,14.416
AFLDAFLAC INCORPORATED,13.02%,3.178
"ALXNDALEXION PHARMACEUTICALS, INC.",17.47%,1.974
"GISDGENERAL MILLS, INC.",10.32%,3.379
"MTCHDMATCH GROUP, INC.",−1.43%,2.104
"SNPSDSYNOPSYS, INC.",15.61%,833.367
ADMDARCHER-DANIELS-MIDLAND COMPANY,18.87%,2.51
"PPATHDUIPATH, INC.",—,1.776
SUDSUNCOR ENERGY INC.,15.49%,7.35
MSCIDMSCI INC,15.33%,304.443
HPQDHP INC.,1.29%,14.555
CMIDCUMMINS INC.,−3.57%,1.013
XELDXCEL ENERGY INC.,13.17%,2.604
DFSDDISCOVER FINANCIAL SERVICES,26.22%,1.854
LYBDLYONDELLBASELL INDUSTRIES NV,3.59%,1.693
CTSHDCOGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,−1.91%,4.912
BF.BDBROWN FORMAN INC,14.47%,932.136
"DXCMDDEXCOM, INC.",9.92%,774.871
"CMGDCHIPOTLE MEXICAN GRILL, INC.",−0.88%,283.112
BF.ADBROWN FORMAN INC,13.58%,42.217
NTRDNUTRIEN LTD.,16.32%,2.794
"PAYXDPAYCHEX, INC.",9.17%,1.221
"ORLYDO'REILLY AUTOMOTIVE, INC.",11.11%,453.462
"FTNTDFORTINET, INC.",34.49%,803.033
CTASDCINTAS CORPORATION,1.82%,380.829
TDGDTRANSDIGM GROUP INC.,9.28%,412.448
GLWDCORNING INCORPORATED,13.27%,4.673
HSYDTHE HERSHEY COMPANY,14.63%,772.984
"IFFDINTERNATIONA FLAVORS & FRAGRANCES, INC.",9.11%,1.443
"YUMDYUM! BRANDS, INC.",13.62%,1.647
"MSIDMOTOROLA SOLUTIONS, INC.",15.89%,706.82
AALCDALCON INC.,4.19%,794.448
HLTDHILTON WORLDWIDE HOLDINGS INC.,−0.41%,1.554
"CDNSDCADENCE DESIGN SYSTEMS, INC.",4.39%,1.391
"PANWDPALO ALTO NETWORKS, INC.",7.51%,954.912
"RSGDREPUBLIC SERVICES, INC.",13.51%,1.181
LUVDSOUTHWEST AIRLINES COMPANY,−3.75%,5.391
"WMBDWILLIAMS COMPANIES, INC. (THE)",17.04%,7.504
FRCDFIRST REPUBLIC BANK,12.59%,460.036
CCLDCARNIVAL CORPORATION,15.74%,28.63
WDWAYFAIR INC.,6.98%,1.337
OOTISDOTIS WORLDWIDE CORPORATION,22.06%,1.985
MTDARCELOR MITTAL NY REGISTRY SHARES NEW,32.48%,3.771
NNWGDNATWEST GROUP PLC DR,13.40%,1.417
ORANDORANGE DR,9.12%,451.707
"CCTVADCORTEVA, INC.",2.29%,3.094
CUKDCARNIVAL PLC DR,14.52%,1.46
VLODVALERO ENERGY CORPORATION,2.64%,3.136
"SWKDSTANLEY BLACK & DECKER, INC.",12.08%,939.218
STMDSTMICROELECTRONICS N.V.,10.54%,1.473
BSBRDBANCO SANTANDER BRASIL SA DR,35.57%,1.038
"DHIDD.R. HORTON, INC.",14.68%,2.871
WLTWDWILLIS TOWERS WATSON PUBLIC LIMITED COMPANY,14.10%,1.089
"CCHWYDCHEWY, INC.",2.92%,3.053
"ZBHDZIMMER BIOMET HOLDINGS, INC.",0.89%,1.469
"PTONDPELOTON INTERACTIVE, INC.",8.33%,11.004
SIVBDSVB FINANCIAL GROUP,17.85%,278.394
"CSGPDCOSTAR GROUP, INC.",4.50%,204.892
PCARDPACCAR INC.,−0.07%,1.281
NUEDNUCOR CORPORATION,61.77%,3.855
"BGNEDBEIGENE, LTD. DR",16.82%,137.01
"CHTDCHUNGHWA TELECOM CO., LTD. DR",5.16%,87.688
"ROKDROCKWELL AUTOMATION, INC.",6.54%,699.189
"WCNDWASTE CONNECTIONS, INC.",18.14%,624.13
"AMEDAMETEK, INC.",10.69%,890.788
KKRDKKR & CO. INC.,14.97%,2.49
SLFDSUN LIFE FINANCIAL INC.,6.41%,614.737
TUDTELUS CORPORATION,9.68%,1.176
"XLNXDXILINX, INC.",13.95%,1.519
DBDDEUTSCHE BANK AG,14.68%,3.671
VFCDV.F. CORPORATION,−2.74%,2.618
NOKDNOKIA CORPORATION SPONSORED DR,44.96%,54.538
LLUDLUFAX HOLDING LTD DR,−15.07%,6.162
MCKDMCKESSON CORPORATION,10.76%,1.118
PEGDPUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,6.60%,2.089
"AMPDAMERIPRISE FINANCIAL, INC.",18.20%,678.621
IIAUDISHARES GOLD TRUST SHARES OF THE ISHARES GOLD TRUST ETF,12.95%,11.568
LBRDADLIBERTY BROADBAND CORPORATION,7.79%,96.382
LBRDKDLIBERTY BROADBAND CORPORATION,7.17%,1.02
FASTDFASTENAL COMPANY,18.18%,2.198
"MGADMAGNA INTERNATIONAL, INC.",12.78%,1.249
MPLXDMPLX LP,12.46%,2.044
RMDDRESMED INC.,15.18%,597.991
STTDSTATE STREET CORPORATION,7.34%,1.676
FFERGDFERGUSON PLC,16.98%,20.913
"AZODAUTOZONE, INC.",11.57%,232.497
FITBDFIFTH THIRD BANCORP,11.26%,4.061
"WECDWEC ENERGY GROUP, INC.",8.37%,1.318
KRDKROGER COMPANY (THE),12.18%,7.798
ETDENERGY TRANSFER LP,34.69%,14.329
"ODFLDOLD DOMINION FREIGHT LINE, INC.",16.30%,927.269
"DALDDELTA AIR LINES, INC.",−3.76%,9.634
CBREDCBRE GROUP INC,14.41%,1.629
"CPRTDCOPART, INC.",19.57%,993.072
AJGDARTHUR J. GALLAGHER & CO.,14.53%,1.329
SYFDSYNCHRONY FINANCIAL,24.14%,5.642
"BBYDBEST BUY CO., INC.",9.88%,3.106
LENDLENNAR CORPORATION,8.67%,2.126
LEN.BDLENNAR CORPORATION,7.00%,69.873
"MTDDMETTLER-TOLEDO INTERNATIONAL, INC.",20.25%,107.001
FNVDFRANCO-NEVADA CORPORATION,39.15%,408.834
"YUMCDYUM CHINA HOLDINGS, INC.",12.84%,2.394
"OKTADOKTA, INC.",3.80%,2.943
"ANSSDANSYS, INC.",11.93%,400.762
"AWKDAMERICAN WATER WORKS COMPANY, INC.",17.63%,584.34
"TTDDTHE TRADE DESK, INC.",−11.65%,746.256
XPEVDXPENG INC. DR,42.50%,16.322
RRPRXDROYALTY PHARMA PLC,3.59%,2.336
ESDEVERSOURCE ENERGY (D/B/A),1.85%,1.563
AAPPDAPPLOVIN CORPORATION,—,742.19
CCEPDCOCA-COLA EUROPACIFIC PARTNERS PLC,16.52%,1.16
"TSNDTYSON FOODS, INC.",6.30%,1.668
"SWKSDSKYWORKS SOLUTIONS, INC.",5.29%,1.439
"ZZGDZILLOW GROUP, INC.",−12.03%,415.532
"ZDZILLOW GROUP, INC.",−9.70%,2.876
SSGENDSEAGEN INC.,3.58%,809.823
"DDDOGDDATADOG, INC.",16.90%,2.193
"IBKRDINTERACTIVE BROKERS GROUP, INC.",−11.84%,1.52
"EFXDEQUIFAX, INC.",32.10%,722.777
CSDCREDIT SUISSE GROUP DR,−19.49%,8.417
"NDAQDNASDAQ, INC.",16.49%,606.691
"AMCDAMC ENTERTAINMENT HOLDINGS, INC.",492.03%,463.082
GRMNDGARMIN LTD.,16.94%,805.067
"EPAMDEPAM SYSTEMS, INC.",43.80%,382.357
HESDHESS CORPORATION,20.70%,1.705
UUDUNITY SOFTWARE INC.,5.77%,3.312
KEYSDKEYSIGHT TECHNOLOGIES INC.,12.04%,868.189
"MXIMDMAXIM INTEGRATED PRODUCTS, INC.",19.37%,2.255
OXYDOCCIDENTAL PETROLEUM CORPORATION,−2.05%,17.262
VVIACADVIACOMCBS INC.,−45.05%,93.645
"VRSKDVERISK ANALYTICS, INC.",−2.24%,744.176
VVIACDVIACOMCBS INC.,−50.11%,16.09
ZBRADZEBRA TECHNOLOGIES CORPORATION,9.89%,298.564
BKRDBAKER HUGHES COMPANY,6.62%,8.907
SIRIDSIRIUS XM HOLDINGS INC.,11.68%,25.584
"ANETDARISTA NETWORKS, INC.",31.62%,375.646
KSUDKANSAS CITY SOUTHERN,40.38%,1.069
ECDECOPETROL S.A. DR,2.38%,1.024
BLLDBALL CORPORATION,−1.49%,2.452
"RCIDROGERS COMMUNICATION, INC.",10.75%,504.96
"NETDCLOUDFLARE, INC.",38.97%,2.944
HRLDHORMEL FOODS CORPORATION,2.67%,2.245
GGMABDGENMAB A/S DR,32.36%,367.918
DTEDDTE ENERGY COMPANY,10.51%,920.676
ZTODZTO EXPRESS (CAYMAN) INC. DR,−0.47%,3.02
"EDDCONSOLIDATED EDISON, INC.",11.24%,1.848
FWONKDLIBERTY MEDIA CORPORATION - SERIES C LIBERTY FORMULA ONE,−2.81%,743.323
FWONADLIBERTY MEDIA CORPORATION - SERIES A LIBERTY FORMULA ONE,−1.26%,104.772
ZSDZSCALER INC,14.83%,2.783
TMEDTENCENT MUSIC ENTERTAINMENT GROUP DR,−39.89%,15.969
"WORKDSLACK TECHNOLOGIES, INC.",10.74%,4.893
